q_no,response_no,q_text,q_responses,q_weighting,indicator,output_name,type_f_b,rough_percent_contribution,dependancies,checked
F38,F38_2,Submerged & Floating-leaved Aquatics,"Are present, but not choking most channels or open water areas in late summer",1,AM,_SAV11,Function,3,"NeverWater, TempWet, NoPersis",1
F38,F38_3,Submerged & Floating-leaved Aquatics,Absent or trace,2,AM,_SAV11,Function,3,"NeverWater, TempWet, NoPersis",1
F28,F28_1,Non-vegetated Aquatic,Little or none.,0,AM,WoodOver11,Function,3,"NeverWater, TempWet, NoPersis, NoPond",1
F28,F28_2,Non-vegetated Aquatic,Intermediate.,1,AM,WoodOver11,Function,3,"NeverWater, TempWet, NoPersis, NoPond",1
F28,F28_3,Non-vegetated Aquatic,Extensive.,2,AM,WoodOver11,Function,3,"NeverWater, TempWet, NoPersis, NoPond",1
F44,F44_1,Internal Gradient,<2% or the AA has no surface water outlet (not even seasonally).,4,AM,Gradient11,Function,3,"NoOutlet, NoOutletX",1
F44,F44_2,Internal Gradient,2-5%.,2,AM,Gradient11,Function,3,"NoOutlet, NoOutletX",1
F44,F44_3,Internal Gradient,6-10%.,1,AM,Gradient11,Function,3,"NoOutlet, NoOutletX",1
F44,F44_4,Internal Gradient,>10%.,0,AM,Gradient11,Function,3,"NoOutlet, NoOutletX",1
F48,F48_1,Beaver Probability,"Evident from direct observation or presence of gnawed limbs, dams, tracks, dens, lodges, or extensive stands of water-killed trees (snags).",3,AM,Beaver11,Function,3,NA,1
F48,F48_2,Beaver Probability,"Likely based on proximity to suitable habitat, which may include: (a) a persistent freshwater wetland, pond, or lake, or a perennial low or mid-gradient (<6%) channel, and (b) a corridor or multiple stands of hardwood trees and shrubs (>10 cm diameter) near surface water.",2,AM,Beaver11,Function,3,NA,1
F48,F48_3,Beaver Probability,"Unlikely because site characteristics above are deficient, and/or this is a settled area or other area where beaver are routinely removed.",0,AM,Beaver11,Function,3,NA,1
F50,F50_1,Vegetation Buffer Along Perimeter,<5%.,0,AM,PerimPctPer11,Function,3,Disturb,1
F50,F50_2,Vegetation Buffer Along Perimeter,5 to <30%.,2,AM,PerimPctPer11,Function,3,Disturb,1
F50,F50_3,Vegetation Buffer Along Perimeter,30 to <60%.,3,AM,PerimPctPer11,Function,3,Disturb,1
F50,F50_4,Vegetation Buffer Along Perimeter,60 to 90%.,4,AM,PerimPctPer11,Function,3,Disturb,1
F50,F50_5,Vegetation Buffer Along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands.",5,AM,PerimPctPer11,Function,3,Disturb,1
F58,review,Focal Species Present,numeric,NA,AM,AMrare11,Function,3,NA,1
S4,NA,Excessive Sediment Loading from Runoff Contributing Area,calculated score,NA,AM,SedCA11,Function,3,NA,1
Z,NA,AP score,calculated score,NA,AM,APPscore11,Function,3,NA,1
OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface.",7,AM,DistPond9v,Benefit,30,NA,1
OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",6,AM,DistPond9v,Benefit,30,NA,1
OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",4,AM,DistPond9v,Benefit,30,NA,1
OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",3,AM,DistPond9v,Benefit,30,NA,1
OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",2,AM,DistPond9v,Benefit,30,NA,1
OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",1,AM,DistPond9v,Benefit,30,NA,1
OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,AM,DistPond9v,Benefit,30,NA,1
OF19,OF19_1,Wetland and Lakes within 2km,<0.02 (2%),6,AM,Water2K11v,Benefit,30,NA,1
OF19,OF19_2,Wetland and Lakes within 2km,0.02 - 0.07,4,AM,Water2K11v,Benefit,30,NA,1
OF19,OF19_3,Wetland and Lakes within 2km,0.08 - 0.17,3,AM,Water2K11v,Benefit,30,NA,1
OF19,OF19_4,Wetland and Lakes within 2km,0.18 - 0.34,2,AM,Water2K11v,Benefit,30,NA,1
OF19,OF19_5,Wetland and Lakes within 2km,>0.34,0,AM,Water2K11v,Benefit,30,NA,1
OF24,OF24_2,Species of Conservation Concern,any amphibian in list,NA,AM,RareAM11v,Benefit,100,NA,1
OF43,OF43_1,Wetland Density in the WAU,<0.03,6,AM,WetDensWAU11v,Benefit,30,NA,1
OF43,OF43_2,Wetland Density in the WAU,0.03 to < 0.10,4,AM,WetDensWAU11v,Benefit,30,NA,1
OF43,OF43_3,Wetland Density in the WAU,0.10 to < 0.20,3,AM,WetDensWAU11v,Benefit,30,NA,1
OF43,OF43_4,Wetland Density in the WAU,0.20 to 0.40,2,AM,WetDensWAU11v,Benefit,30,NA,1
OF43,OF43_5,Wetland Density in the WAU,>0.40,0,AM,WetDensWAU11v,Benefit,30,NA,1
F58,review,Focal Species Present,numeric,NA,AM,AmphRare11v,Benefit,100,NA,1
Z,NA,WB Score,calculated score,NA,AM,FscoreWBF11v,Benefit,100,NA,1
OF19,OF19_1,Wetland and Lakes within 2km,<0.02 (2%),0,WB,LakeWet11,Function,NA,NA,1
OF19,OF19_2,Wetland and Lakes within 2km,0.02 - 0.07,2,WB,LakeWet11,Function,NA,NA,1
OF19,OF19_3,Wetland and Lakes within 2km,0.08 - 0.17,3,WB,LakeWet11,Function,NA,NA,1
OF19,OF19_4,Wetland and Lakes within 2km,0.18 - 0.34,4,WB,LakeWet11,Function,NA,NA,1
OF19,OF19_5,Wetland and Lakes within 2km,>0.34,6,WB,LakeWet11,Function,NA,NA,1
OF18,OF18_1,Lakes within 2km,<0.02 (2%),0,WB,PctLakes11,Function,NA,NA,1
OF18,OF18_2,Lakes within 2km,0.02 - 0.07,2,WB,PctLakes11,Function,NA,NA,1
OF18,OF18_3,Lakes within 2km,0.08 - 0.17,3,WB,PctLakes11,Function,NA,NA,1
OF18,OF18_4,Lakes within 2km,0.18 - 0.34,4,WB,PctLakes11,Function,NA,NA,1
OF18,OF18_5,Lakes within 2km,>0.34,6,WB,PctLakes11,Function,NA,NA,1
OF20,OF20_1,Fish Occurrence,"Chinook (wild, not stocked) are present in AA (enter ""3""), or in connected parts of same watershed within 5 km (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",1,WB,Fish11,Function,NA,NA,1
OF20,OF20_2,Fish Occurrence,"Chum  (wild, not stocked) are present in AA (enter ""3""), or in connected parts of same watershed within 5 km (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",1,WB,Fish11,Function,NA,NA,1
OF20,OF20_3,Fish Occurrence,"Coho/Silver (wild, not stocked)  are present in AA (enter ""3""), or in connected parts of same watershed within 5 km (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",1,WB,Fish11,Function,NA,NA,1
OF20,OF20_4,Fish Occurrence,"None of above, but other fish species are likely present in AA.  Or a stream connects the AA to other waters and is not known to be fishless (enter ""1"").",1,WB,Fish11,Function,NA,NA,1
OF20,OF20_5,Fish Occurrence,"Is known or likely to be fishless (e.g., too small, dry, and/or not accessible even temporarily, and not stocked).",0,WB,Fish11,Function,NA,NA,1
OF24,OF24_2,Species of Conservation Concern,any amphibian in list,NA,WB,WB_rare11,Function,NA,NA,1
OF26,OF26_1,Degree Days Index,numeric,NA,WB,DegreeD11,Function,NA,NA,1
OF40,OF40_1,Non-tree Vegetation within the AA plus 100m buffer,<0.13 (<13%),0,WB,Herbscape13,Function,NA,NA,1
OF40,OF40_2,Non-tree Vegetation within the AA plus 100m buffer,0.13 to < 0.30,2,WB,Herbscape13,Function,NA,NA,1
OF40,OF40_3,Non-tree Vegetation within the AA plus 100m buffer,0.30 to < 0.48,3,WB,Herbscape13,Function,NA,NA,1
OF40,OF40_4,Non-tree Vegetation within the AA plus 100m buffer,0.48 to 0.69,4,WB,Herbscape13,Function,NA,NA,1
OF40,OF40_5,Non-tree Vegetation within the AA plus 100m buffer,>0.69,6,WB,Herbscape13,Function,NA,NA,1
OF43,OF43_1,Wetland Density in the WAU,<0.03,0,WB,WetDensWAU13,Function,NA,NA,1
OF43,OF43_2,Wetland Density in the WAU,0.03 to < 0.10,1,WB,WetDensWAU13,Function,NA,NA,1
OF43,OF43_3,Wetland Density in the WAU,0.10 to < 0.20,2,WB,WetDensWAU13,Function,NA,NA,1
OF43,OF43_4,Wetland Density in the WAU,0.20 to 0.40,3,WB,WetDensWAU13,Function,NA,NA,1
OF43,OF43_5,Wetland Density in the WAU,>0.40,5,WB,WetDensWAU13,Function,NA,NA,1
F21,F21_1,Percent Persistent Surface water,"None, and the entire AA lacks surface water during most years (except for a few hours after storms, brief river flooding, or snowmelt).",0,WB,PermWpct13,Function,NA,NeverWater,1
F21,F21_2,Percent Persistent Surface water,"None, but parts of the AA have surface water for >3 consecutive weeks during most years.",2,WB,PermWpct13,Function,NA,NeverWater,1
F21,F21_3,Percent Persistent Surface water,1-20% of the AA still contains surface water during driest times of a normal year.,3,WB,PermWpct13,Function,NA,NeverWater,1
F21,F21_4,Percent Persistent Surface water,20-50% of the AA still contains surface water during driest times of a normal year.,5,WB,PermWpct13,Function,NA,NeverWater,1
F21,F21_5,Percent Persistent Surface water,50-95% of the AA still contains surface water during driest times of a normal year.,5,WB,PermWpct13,Function,NA,NeverWater,1
F21,F21_6,Percent Persistent Surface water,>95% of the AA. True for many fringe wetlands.,4,WB,PermWpct13,Function,NA,NeverWater,1
F22,F22_1,Fringe Wetlands,Binary (0/1),NA,WB,Fringe13,Function,NA,"NeverWater, NoPersis",1
F23,F23_1,Lacustrine Wetland,numeric,NA,WB,Lake13,Function,NA,"NeverWater, NoPersis",1
F27,F27_1,Ponded Water,"<1% of the water.  Nearly all the surface water is flowing when it is present.  Enter ""1"" and SKIP to F29 (Open Water Extent)",0,WB,PondedPct13,Function,NA,NeverWater,1
F27,F27_2,Ponded Water,1-4% of the water. Most of the surface water is flowing when it is present.,2,WB,PondedPct13,Function,NA,NeverWater,1
F27,F27_3,Ponded Water,5-30% of the water. Most of the surface water is flowing when it is present.,3,WB,PondedPct13,Function,NA,NeverWater,1
F27,F27_4,Ponded Water,30-70% of the water. Most of the surface water is ponded when it is present.,4,WB,PondedPct13,Function,NA,NeverWater,1
F27,F27_5,Ponded Water,70-95% of the water. Most of the surface water is ponded when it is present.,5,WB,PondedPct13,Function,NA,NeverWater,1
F27,F27_6,Ponded Water,>95% of the water. Nearly all of the surface water is ponded when it is present.,6,WB,PondedPct13,Function,NA,NeverWater,1
F29,F29_1,Largest Deep Ponded Water (as acreage),"<0.01 hectare (about 10 x 10 m, or 100 m x 1 m), or none",0,WB,MaxPondArea13,Function,NA,"NeverWater, NoPersis, NoPond",1
F29,F29_2,Largest Deep Ponded Water (as acreage),0.01 - 0.10 ha,1,WB,MaxPondArea13,Function,NA,"NeverWater, NoPersis, NoPond",1
F29,F29_3,Largest Deep Ponded Water (as acreage),0.10 - 1.00 ha,2,WB,MaxPondArea13,Function,NA,"NeverWater, NoPersis, NoPond",1
F29,F29_4,Largest Deep Ponded Water (as acreage),1 - 10 ha,4,WB,MaxPondArea13,Function,NA,"NeverWater, NoPersis, NoPond",1
F29,F29_5,Largest Deep Ponded Water (as acreage),10 - 100 ha,6,WB,MaxPondArea13,Function,NA,"NeverWater, NoPersis, NoPond",1
F29,F29_6,Largest Deep Ponded Water (as acreage),> 100 ha,9,WB,MaxPondArea13,Function,NA,"NeverWater, NoPersis, NoPond",1
F30,F30_1,Largest Deep Ponded Water (as percentage of the AA),<1% of the AA  and <0.01 ha.,1,WB,MaxPondPct13,Function,NA,"NeverWater, NoPersis, NoPond",1
F30,F30_2,Largest Deep Ponded Water (as percentage of the AA),"1 to <5% of the AA,  or <1% of the AA but >0.01 ha.",2,WB,MaxPondPct13,Function,NA,"NeverWater, NoPersis, NoPond",1
F30,F30_3,Largest Deep Ponded Water (as percentage of the AA),5 to <30% of the AA.,5,WB,MaxPondPct13,Function,NA,"NeverWater, NoPersis, NoPond",1
F30,F30_4,Largest Deep Ponded Water (as percentage of the AA),30 to <70% of the AA.,7,WB,MaxPondPct13,Function,NA,"NeverWater, NoPersis, NoPond",1
F30,F30_5,Largest Deep Ponded Water (as percentage of the AA),70 to 99% of the AA.,4,WB,MaxPondPct13,Function,NA,"NeverWater, NoPersis, NoPond",1
F30,F30_6,Largest Deep Ponded Water (as percentage of the AA),100% of the AA.,3,WB,MaxPondPct13,Function,NA,"NeverWater, NoPersis, NoPond",1
F31,F31_1,Open Water Extent,"none, or <0.01 hectare. Enter ""1"" and SKIP to F37 (Inundated Erect Vegetation).",0,WB,OWarea13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F31,F31_2,Open Water Extent,0.01 - 0.10 hectares,1,WB,OWarea13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F31,F31_3,Open Water Extent,0.10 - 1.00 hectares,2,WB,OWarea13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F31,F31_4,Open Water Extent,1 - 10 hectares,4,WB,OWarea13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F31,F31_5,Open Water Extent,10 - 100 hectares,5,WB,OWarea13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F31,F31_6,Open Water Extent,> 100 hectares,6,WB,OWarea13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F32,F32_1,Distance across longest open water (fetch),<10 m.,0,WB,Fetch13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F32,F32_2,Distance across longest open water (fetch),10 - 30 m.,2,WB,Fetch13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F32,F32_3,Distance across longest open water (fetch),30 - 100 m.,3,WB,Fetch13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F32,F32_4,Distance across longest open water (fetch),100 - 200 m.,4,WB,Fetch13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F32,F32_5,Distance across longest open water (fetch),200 - 500 m.,5,WB,Fetch13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F32,F32_6,Distance across longest open water (fetch),> 500 m.,7,WB,Fetch13,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F33,F33_1,Distance from Open Water to Upland (Vegetated Width),<1 m.,0,WB,WidthDry13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F33,F33_2,Distance from Open Water to Upland (Vegetated Width),1 - 9 m.,2,WB,WidthDry13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F33,F33_3,Distance from Open Water to Upland (Vegetated Width),10 - 29 m.,3,WB,WidthDry13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F33,F33_4,Distance from Open Water to Upland (Vegetated Width),30 - 49 m.,4,WB,WidthDry13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F33,F33_5,Distance from Open Water to Upland (Vegetated Width),50 - 100 m.,5,WB,WidthDry13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F33,F33_6,Distance from Open Water to Upland (Vegetated Width),"> 100 m, or open water is absent at that time.",6,WB,WidthDry13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F35,F35_1,Interspersion of Inundated Vegetation & Open Water,"Scattered. More than 30% of the inundated vegetation forms small islands or corridors surrounded by water, or more than 30% of the open water is in patches scattered widely amidst the vegetation.",4,WB,Interspers13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F35,F35_2,Interspersion of Inundated Vegetation & Open Water,Intermediate.,3,WB,Interspers13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F35,F35_3,Interspersion of Inundated Vegetation & Open Water,Clumped. More than 70% of the inundated vegetation is in rings surrounding open water or is clumped at one or a few sides of the open water areas.,1,WB,Interspers13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F35,F35_4,Interspersion of Inundated Vegetation & Open Water,"Uniform. There is almost no open water, or almost no vegetation.",0,WB,Interspers13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F36,F36_1,Steep Shoreline Extent,<1% of the water edge.,5,WB,Steepshore13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F36,F36_2,Steep Shoreline Extent,1-25% of the water edge.,3,WB,Steepshore13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F36,F36_3,Steep Shoreline Extent,25-50% of the water edge.,2,WB,Steepshore13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F36,F36_4,Steep Shoreline Extent,50-75% of the water edge.,1,WB,Steepshore13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F36,F36_5,Steep Shoreline Extent,>75% of the water edge.,0,WB,Steepshore13,Function,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW",1
F37,F37_1,Inundated Erect Vegetation,<1% of the AA.,0,WB,Cttail13,Function,NA,"NeverWater, NoPersis",1
F37,F37_2,Inundated Erect Vegetation,1-20% of the AA,3,WB,Cttail13,Function,NA,"NeverWater, NoPersis",1
F37,F37_3,Inundated Erect Vegetation,20 - 40% of the AA,4,WB,Cttail13,Function,NA,"NeverWater, NoPersis",1
F37,F37_4,Inundated Erect Vegetation,40 - 60% of the AA.,6,WB,Cttail13,Function,NA,"NeverWater, NoPersis",1
F37,F37_5,Inundated Erect Vegetation,60 - 90% of the AA,7,WB,Cttail13,Function,NA,"NeverWater, NoPersis",1
F37,F37_6,Inundated Erect Vegetation,">90%, of the AA.",5,WB,Cttail13,Function,NA,"NeverWater, NoPersis",1
F38,F38_1,Submerged & Floating-leaved Aquatics,"Are present, and are so extensive they choke most channels or open water areas in late summer",2,WB,_SAV13,Function,NA,"NeverWater, NoPersis",1
F38,F38_2,Submerged & Floating-leaved Aquatics,"Are present, but not choking most channels or open water areas in late summer",3,WB,_SAV13,Function,NA,"NeverWater, NoPersis",1
F38,F38_3,Submerged & Floating-leaved Aquatics,Absent or trace,0,WB,_SAV13,Function,NA,"NeverWater, NoPersis",1
F44,F44_1,Internal Gradient,<2% or the AA has no surface water outlet (not even seasonally).,4,WB,Gradient13,Function,NA,"NoOutlet, NoOutletX, Inflow",1
F44,F44_2,Internal Gradient,2-5%.,2,WB,Gradient13,Function,NA,"NoOutlet, NoOutletX, Inflow",1
F44,F44_3,Internal Gradient,6-10%.,1,WB,Gradient13,Function,NA,"NoOutlet, NoOutletX, Inflow",1
F44,F44_4,Internal Gradient,>10%.,0,WB,Gradient13,Function,NA,"NoOutlet, NoOutletX, Inflow",1
F48,F48_1,Beaver Probability,"Evident from direct observation or presence of gnawed limbs, dams, tracks, dens, lodges, or extensive stands of water-killed trees (snags).",3,WB,Beaver13,Function,NA,NA,1
F48,F48_2,Beaver Probability,"Likely based on proximity to suitable habitat, which may include: (a) a persistent freshwater wetland, pond, or lake, or a perennial low or mid-gradient (<6%) channel, and (b) a corridor or multiple stands of hardwood trees and shrubs (>10 cm diameter) near surface water.",2,WB,Beaver13,Function,NA,NA,1
F48,F48_3,Beaver Probability,"Unlikely because site characteristics above are deficient, and/or this is a settled area or other area where beaver are routinely removed.",0,WB,Beaver13,Function,NA,NA,1
F50,F50_1,Vegetated Buffer along Perimeter,<5%.,0,WB,PerimCov13,Function,NA,Disturb,1
F50,F50_2,Vegetated Buffer along Perimeter,5 to 30%.,2,WB,PerimCov13,Function,NA,Disturb,1
F50,F50_3,Vegetated Buffer along Perimeter,30 to 60%.,3,WB,PerimCov13,Function,NA,Disturb,1
F50,F50_4,Vegetated Buffer along Perimeter,60 to 90%.,4,WB,PerimCov13,Function,NA,Disturb,1
F50,F50_5,Vegetated Buffer along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands.",5,WB,PerimCov13,Function,NA,Disturb,1
F58,review,Focal Species Present,numeric,NA,WB,RareBird11,Function,NA,NA,1
S6,NA,Wildlife Disturbance Potential,calculated score,NA,WB,Noise11,Function,NA,NA,1
Z,NA,AP score,calculated score,NA,WB,APPscore11,Function,NA,NA,1
OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface.",0,WB,DistPond11v,Benefit,NA,NA,1
OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",2,WB,DistPond11v,Benefit,NA,NA,1
OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",3,WB,DistPond11v,Benefit,NA,NA,1
OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",5,WB,DistPond11v,Benefit,NA,NA,1
OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",6,WB,DistPond11v,Benefit,NA,NA,1
OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",NA,WB,DistPond11v,Benefit,NA,NA,check this
OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,8,WB,DistPond11v,Benefit,NA,NA,1
OF4,OF4_1,Distance to Large ponded water,<100 m,0,WB,DistLake11v,Benefit,NA,NA,1
OF4,OF4_2,Distance to Large ponded water,100 m - 1 km,2,WB,DistLake11v,Benefit,NA,NA,1
OF4,OF4_3,Distance to Large ponded water,1 -2 km,3,WB,DistLake11v,Benefit,NA,NA,1
OF4,OF4_4,Distance to Large ponded water,2-5 km,5,WB,DistLake11v,Benefit,NA,NA,1
OF4,OF4_5,Distance to Large ponded water,5-10 km,6,WB,DistLake11v,Benefit,NA,NA,1
OF4,OF4_6,Distance to Large ponded water,>10 km,8,WB,DistLake11v,Benefit,NA,NA,1
OF18,OF18_1,Lakes within 2km,<0.02 (2%),6,WB,LakePct11v,Benefit,NA,NA,1
OF18,OF18_2,Lakes within 2km,0.02 - 0.07,4,WB,LakePct11v,Benefit,NA,NA,1
OF18,OF18_3,Lakes within 2km,0.08 - 0.17,3,WB,LakePct11v,Benefit,NA,NA,1
OF18,OF18_4,Lakes within 2km,0.18 - 0.34,2,WB,LakePct11v,Benefit,NA,NA,1
OF18,OF18_5,Lakes within 2km,>0.34,0,WB,LakePct11v,Benefit,NA,NA,1
OF19,OF19_1,Wetland and Lakes within 2km,<0.02 (2%),6,WB,LakeWetPct11v,Benefit,NA,NA,1
OF19,OF19_2,Wetland and Lakes within 2km,0.02 - 0.07,4,WB,LakeWetPct11v,Benefit,NA,NA,1
OF19,OF19_3,Wetland and Lakes within 2km,0.08 - 0.17,3,WB,LakeWetPct11v,Benefit,NA,NA,1
OF19,OF19_4,Wetland and Lakes within 2km,0.18 - 0.34,2,WB,LakeWetPct11v,Benefit,NA,NA,1
OF19,OF19_5,Wetland and Lakes within 2km,>0.34,0,WB,LakeWetPct11v,Benefit,NA,NA,1
OF24,????,Species of Conservation Concern,number,NA,WB,RareSpp11v,Benefit,NA,NA,1
OF43,OF43_1,Wetland Density in the WAU,<0.03,6,WB,WetDensWAU12v,Benefit,NA,NA,1
OF43,OF43_2,Wetland Density in the WAU,0.03 to < 0.10,4,WB,WetDensWAU12v,Benefit,NA,NA,1
OF43,OF43_3,Wetland Density in the WAU,0.10 to < 0.20,3,WB,WetDensWAU12v,Benefit,NA,NA,1
OF43,OF43_4,Wetland Density in the WAU,0.20 to 0.40,2,WB,WetDensWAU12v,Benefit,NA,NA,1
OF43,OF43_5,Wetland Density in the WAU,>0.40,0,WB,WetDensWAU12v,Benefit,NA,NA,1
F56,F56_1,Non-consumptive Uses - Actual or Potential,"For an average person, walking is physically possible in (not just near) >5% of the AA during most of the growing season, e.g., free of deep water and dense shrub thickets.",NA,WB,Recrea13v,Benefit,NA,NA,1
F57,F57_3,Consumptive Uses,response value,0,WB,DuckHunt13,Benefit,NA,NA,1
F58,F58_9,Focal Species Present,numeric,NA,WB,RareBird11v,Benefit,NA,NA,1
F8,F8_1,Large Snags,"None, or fewer than 8/ hectare which exceed this diameter.",0,WB,Snags13,Function,NA,NA,1
F8,F8_2,Large Snags,"Several ( >8/hectare) and a pond, lake, or slow-flowing water wider than 10 m is within 1 km.",3,WB,Snags13,Function,NA,NA,1
F8,F8_3,Large Snags,Several ( >8/hectare) but above not true.,2,WB,Snags13,Function,NA,NA,1
F16,F16_1,Shallow water+ bare Saturated Substrate,"none, or <10 sq. m.",0,WB,mudflat13,Function,NA,NA,1
F16,F16_2,Shallow water+ bare Saturated Substrate,101-100 sq. m.,2,WB,mudflat13,Function,NA,NA,1
F16,F16_3,Shallow water+ bare Saturated Substrate,"100 – 1000 sq. m (e.g., 10-m long strip >1 m wide)",3,WB,mudflat13,Function,NA,NA,1
F16,F16_4,Shallow water+ bare Saturated Substrate,"1000 - 10,000 sq. m  (e.g., 1-km strip >1 m wide)",4,WB,mudflat13,Function,NA,NA,1
F16,F16_5,Shallow water+ bare Saturated Substrate,">10,000 sq. m (e.g., >1-km strip >1 m wide)",5,WB,mudflat13,Function,NA,NA,1
OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface.",7,KMH,DistPond19,Function,NA,NA,1
OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",6,KMH,DistPond19,Function,NA,NA,1
OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",5,KMH,DistPond19,Function,NA,NA,1
OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,KMH,DistPond19,Function,NA,NA,1
OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",3,KMH,DistPond19,Function,NA,NA,1
OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",2,KMH,DistPond19,Function,NA,NA,1
OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,KMH,DistPond19,Function,NA,NA,1
OF2,OF2_1,Distance to Frequently travelled Road,<10 m,0,KMH,DistRd19,Function,NA,NA,1
OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,1,KMH,DistRd19,Function,NA,NA,1
OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,2,KMH,DistRd19,Function,NA,NA,1
OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,3,KMH,DistRd19,Function,NA,NA,1
OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,5,KMH,DistRd19,Function,NA,NA,1
OF2,OF2_6,Distance to Frequently travelled Road,>500 m,8,KMH,DistRd19,Function,NA,NA,1
OF19,OF19_1,Wetland and Lakes within 2km,<0.02 (2%),0,KMH,Water2k19,Function,NA,NA,1
OF19,OF19_2,Wetland and Lakes within 2km,0.02 - 0.07,2,KMH,Water2k19,Function,NA,NA,1
OF19,OF19_3,Wetland and Lakes within 2km,0.08 - 0.17,3,KMH,Water2k19,Function,NA,NA,1
OF19,OF19_4,Wetland and Lakes within 2km,0.18 - 0.34,4,KMH,Water2k19,Function,NA,NA,1
OF19,OF19_5,Wetland and Lakes within 2km,>0.34,6,KMH,Water2k19,Function,NA,NA,1
OF20,OF20_1,Fish Occurrence,"Chinook (wild, not stocked) are present in AA (enter ""3""), or in connected parts of same watershed within 5 km (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",5,KMH,Fish19,Function,NA,NA,1
OF20,OF20_2,Fish Occurrence,"Chum  (wild, not stocked) are present in AA (enter ""3""), or in connected parts of same watershed within 5 km (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",5,KMH,Fish19,Function,NA,NA,1
OF20,OF20_3,Fish Occurrence,"Coho/Silver (wild, not stocked)  are present in AA (enter ""3""), or in connected parts of same watershed within 5 km (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",5,KMH,Fish19,Function,NA,NA,1
OF20,OF20_4,Fish Occurrence,"None of above, but other fish species are likely present in AA.  Or a stream connects the AA to other waters and is not known to be fishless (enter ""1"").",2,KMH,Fish19,Function,NA,NA,1
