q_no,q_text,q_responses,Q_weighting,indicator,output_name ,type (F/B),Rough Percent contribution ,,,,,,,,,
F43,Throughflow Resistance,Bumps into tree trunks and/or shrub stems but mostly remains in fairly direct flow paths.,1,OE,ThruFlo7,Function,3,,,,,,,,,
F43,Throughflow Resistance,"Bumps into tree trunks and/or shrub stems and follows a fairly indirect path from entrance to exit, largely spreading into wooded parts of the AA.",2,OE,ThruFlo7,Function,3,,,,,,,,,
F44,Internal Gradient,<2% or the AA has no surface water outlet (not even seasonally).,0,OE,Gradient7,Function,3,,,,,,,,,
F44,Internal Gradient,2-5%.,2,OE,Gradient7,Function,3,,,,,,,,,
F44,Internal Gradient,6-10%.,3,OE,Gradient7,Function,3,,,,,,,,,
F44,Internal Gradient,>10%.,4,OE,Gradient7,Function,3,,,,,,,,,
F47,Groundwater Input Probability,"Springs are known to be present within the AA; or most of the AA was excavated below the usual water table level; or iron floc is extensive, or thermal and chemical properties of water strongly suggest substantial groundwater input.",3,OE,Groundw7,Function,3,,,,,,,,,
F47,Groundwater Input Probability,"Most of the AA has a slope of >5%, or is very close to the base of a natural slope longer than the maximum dimension of the AA and much steeper than the slope of the AA, OR, if measured, surface water has pH >6.5 and conductivity of >300 µS/cm or TDS of >200 mg/L (ppm). Moss cover, if any, not dominated by Sphagnum. And not a hot spring. Common plants may include ones associated with fen wetlands, e.g., Menyanthes, Potentilla palustris, Equisetum fluviatile.",2,OE,Groundw7,Function,3,,,,,,,,,
F47,Groundwater Input Probability,"Neither of above is true, although groundwater may discharge to or flow through the AA. Or groundwater influx is unknown.",0,OE,Groundw7,Function,3,,,,,,,,,
Z,Aquatic Productivity Score,calculated numeric,numeric,OE,APPscore7,Function,30,,,,,,,,,
Z,Carbon Seq Score,calculated numeric,numeric,OE,Csscore,Function,30,,,,,,,,,
OF27,Local Climate Moisture Deficit,numeric,,CS,WetDef6,Function,3,,,,,,,,,
F1,Vegetation Height and Form Diversity ,coniferous (including tamarack) taller than 3 meters.,2,CS,WoodyPct6,Function,10,,,,,,,,,
F1,Vegetation Height and Form Diversity ,deciduous taller than 3 m,0,CS,WoodyPct6,Function,10,,,,,,,,,
F1,Vegetation Height and Form Diversity ,"coniferous or evergreen 1-3 m tall (e.g., stunted black spruce)",3,CS,WoodyPct6,Function,10,,,,,,,,,
F1,Vegetation Height and Form Diversity ,deciduous 1-3 m tall ,1,CS,WoodyPct6,Function,10,,,,,,,,,
F1,Vegetation Height and Form Diversity ,"coniferous or evergreen <1 m tall (e.g., many ericaceous shrub species)",3,CS,WoodyPct6,Function,10,,,,,,,,,
F1,Vegetation Height and Form Diversity ,"deciduous <1 m tall (e.g., deciduous tree seedlings) ",1,CS,WoodyPct6,Function,10,,,,,,,,,
F3,Woody Diameter Classes ,"coniferous, 1-9 cm diameter and >1 m tall.",0,CS,TreeTyp6,Function,3,,,,,,,,,
F4,Woody Diameter Classes ,broad-leaved deciduous 1-9 cm diameter and >1 m tall.,0,CS,TreeTyp6,Function,3,,,,,,,,,
F5,Woody Diameter Classes ,"coniferous, 10-19 cm diameter.",1,CS,TreeTyp6,Function,3,,,,,,,,,
F6,Woody Diameter Classes ,broad-leaved deciduous 10-19 cm diameter.,1,CS,TreeTyp6,Function,3,,,,,,,,,
F7,Woody Diameter Classes ,"coniferous, 20-40 cm diameter.",2,CS,TreeTyp6,Function,3,,,,,,,,,
F8,Woody Diameter Classes ,broad-leaved deciduous 20-40 cm diameter.,2,CS,TreeTyp6,Function,3,,,,,,,,,
F9,Woody Diameter Classes ,"coniferous, >40 cm diameter.",4,CS,TreeTyp6,Function,3,,,,,,,,,
F10,Woody Diameter Classes ,broad-leaved deciduous >40 cm diameter.,3,CS,TreeTyp6,Function,3,,,,,,,,,
F10,Dense Moss Extent,<5% of the vegetated part of the AA. ,5,CS,Moss6,Function,20,,,,,,,,,
F10,Dense Moss Extent,5-25% of the vegetated part of the AA.,2,CS,Moss6,Function,20,,,,,,,,,
F10,Dense Moss Extent,25-50% of the vegetated part of the AA.,3,CS,Moss6,Function,20,,,,,,,,,
F10,Dense Moss Extent,50-95% of the vegetated part of the AA.,4,CS,Moss6,Function,20,,,,,,,,,
F10,Dense Moss Extent,>95% of the vegetated part of the AA.,5,CS,Moss6,Function,20,,,,,,,,,
F15,Percent Bare Ground,"Little or no (<5%) bare ground is visible between erect stems or under canopy anywhere in the vegetated AA. Ground is extensively blanketed by dense thatch, moss, lichens, graminoids with great stem densities, or plants with ground-hugging foliage. ",4,CS,GCover6,Function,3,,,,,,,,,
F15,Percent Bare Ground,"Ground that is more than 5% bare between erect stems or under canopy is visible in places, but those areas comprise < 5% of the unflooded parts of the AA.",3,CS,GCover6,Function,3,,,,,,,,,
F15,Percent Bare Ground,Ground that is more than 5% bare between erect stems or under canopy comprises > 5% of the unflooded parts of the AA.,1,CS,GCover6,Function,3,,,,,,,,,
F15,Percent Bare Ground,Other conditions.,0,CS,GCover6,Function,3,,,,,,,,,
F17,Soil SurfaceTexture,"Loamy: soils that may contain a little fine grit and do not make a ""ribbon"" longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",1,CS,SoilText6,Function,20,,,,,,,,,
F17,Soil SurfaceTexture,"Fines: includes silt, clay, silt, soils that make a ribbon longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",2,CS,SoilText6,Function,20,,,,,,,,,
F17,Soil SurfaceTexture,"Peat, to 40 cm depth or greater.",6,CS,SoilText6,Function,20,,,,,,,,,
F17,Soil SurfaceTexture,Peat or decomposed organic <40 cm deep. ,5,CS,SoilText6,Function,20,,,,,,,,,
F17,Soil SurfaceTexture,"Coarse: includes sand, loamy sand, gravel, cobble, soils that do not make a ribbon when moistened, rolled, squeezed, and extended between thumb and forefinger.",0,CS,SoilText6,Function,20,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Perennial (surface water flows out during the entire growing season, most years).",0,CS,OutDura6,Function,50,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Seasonal (surface water flows out for >3 consecutive weeks but not for the entire growing season, most years).",1,CS,OutDura6,Function,50,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Temporary (surface water flows out for <3 consecutive weeks, most years)",2,CS,OutDura6,Function,50,,,,,,,,,
F40,Channel Connection and Outflow Duration,"None -- but maps show a stream network downslope from the AA and within a distance that is less than the AA's longest dimension. Enter ""1"" and SKIP to F45 (pH Measure).",4,CS,OutDura6,Function,50,,,,,,,,,
F40,Channel Connection and Outflow Duration,"No surface water flows out of the wetland except possibly during extreme events (<once per 10 years). Or, water flows only into a wetland, ditch, or lake that lacks an outlet. . Enter ""1"" and SKIP to F45 (pH Measure).",5,CS,OutDura6,Function,50,,,,,,,,,
F41,Outflow Confinement and Artificial Drainage,"is exported more slowly because a substantial volume must pass through a pipe, culvert, narrowly breached dike, berm, beaver dam, or other partial obstruction (other than natural topography) that does not appear to drain the wetland artificially during most of the growing season.",3,CS,Constric6,Function,3,,,,,,,,,
F41,Outflow Confinement and Artificial Drainage,Leaves through natural exits (channels or diffuse outflow) or is otherwise unaffected by artificial or temporary features.,2,CS,Constric6,Function,3,,,,,,,,,
F41,Outflow Confinement and Artificial Drainage,"Is exported more quickly than usual due to ditches or pipes within the AA or connected to its outlet, or within 30 ft of the AA's edge, which drain the wetland artificially, or water is pumped out of the AA.",0,CS,Constric6,Function,3,,,,,,,,,
F41,Outflow Confinement and Artificial Drainage,Unknown because wetland outlet could not be viewed or its type inferred.,?,CS,Constric6,Function,3,,,,,,,,,
F45,pH Measuerment,numeric / binary (0/1),numeric/binary,CS,Acidic6,Function,20,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned intensely.",0,CS,Fire6,Function,3,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned lightly.",2,CS,Fire6,Function,3,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned intensely.",1,CS,Fire6,Function,3,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned lightly.",3,CS,Fire6,Function,3,,,,,,,,,
F55,Fire History,Burned 6-10 years ago.,4,CS,Fire6,Function,3,,,,,,,,,
F55,Fire History,Burned 11-30 years ago.,5,CS,Fire6,Function,3,,,,,,,,,
F55,Fire History,"Burned >30 years ago, or no evidence of a burn and no data.",6,CS,Fire6,Function,3,,,,,,,,,
S5,Soil or Sediment Alteration within the Assessment Area ,stressor subscore,numeric,CS,SoilDisturb6,Function,3,,,,,,,,,
OF28,Degree Days Index,numeric,,SR,DegreeD3,Function,,,,,,,,,,
F12,Tussock Cover,"<5% of the vegetated area, or none.",0,SR,Sedge3,Function,10,,,,,,,,,
F12,Tussock Cover,5-50% of the vegetated area.,2,SR,Sedge3,Function,10,,,,,,,,,
F12,Tussock Cover,50-95% of the vegetated area.,3,SR,Sedge3,Function,10,,,,,,,,,
F12,Tussock Cover,>95% of the vegetated area.,4,SR,Sedge3,Function,10,,,,,,,,,
F15,Percent Bare Ground,"Little or no (<5%) bare ground is visible between erect stems or under canopy anywhere in the vegetated AA. Ground is extensively blanketed by dense thatch, moss, lichens, graminoids with great stem densities, or plants with ground-hugging foliage. ",3,SR,Gcover3,Function,10,,,,,,,,,
F15,Percent Bare Ground,"Ground that is more than 5% bare between erect stems or under canopy is visible in places, but those areas comprise < 5% of the unflooded parts of the AA.",2,SR,Gcover3,Function,10,,,,,,,,,
F15,Percent Bare Ground,Ground that is more than 5% bare between erect stems or under canopy comprises > 5% of the unflooded parts of the AA.,0,SR,Gcover3,Function,10,,,,,,,,,
F15,Percent Bare Ground,Other conditions.,?,SR,Gcover3,Function,10,,,,,,,,,
F18,Microtopography ,"Few or none (minimal microtopography; <1% of the land has such features, or entire AA is always water-covered).",0,SR,Girreg3,Function,10,,,,,,,,,
F18,Microtopography ,Intermediate.,2,SR,Girreg3,Function,10,,,,,,,,,
F18,Microtopography ,"Several (extensive micro-topography, >25% of the land).",3,SR,Girreg3,Function,10,,,,,,,,,
F20,Percent Flood Only seasonal ,"None, or <0.01 hectare and <1% of the AA. ",0,SR,SeasPct3,Function,5,,,,,,,,,
F20,Percent Flood Only seasonal ,"1-20% of the AA, or <1% but >0.01 hectare",1,SR,SeasPct3,Function,5,,,,,,,,,
F20,Percent Flood Only seasonal ,20-50% of the AA.,2,SR,SeasPct3,Function,5,,,,,,,,,
F20,Percent Flood Only seasonal ,50-95% of the AA.,3,SR,SeasPct3,Function,5,,,,,,,,,
F20,Percent Flood Only seasonal ,>95% of the AA. ,4,SR,SeasPct3,Function,5,,,,,,,,,
F25,Surface Water Fluctuation Range ,<10 cm change (stable or nearly so).,0,SR,Fluctu3,Function,5,,,,,,,,,
F25,Surface Water Fluctuation Range ,10 cm - 50 cm change.,2,SR,Fluctu3,Function,5,,,,,,,,,
F25,Surface Water Fluctuation Range ,0.5 - 1 m change.,3,SR,Fluctu3,Function,5,,,,,,,,,
F25,Surface Water Fluctuation Range ,1-2 m change.,4,SR,Fluctu3,Function,5,,,,,,,,,
F25,Surface Water Fluctuation Range ,>2 m change.,4,SR,Fluctu3,Function,5,,,,,,,,,
F27,Ponded Water,"<1% of the water.  Nearly all the surface water is flowing when it is present.  Enter ""1"" and SKIP to F29 (Open Water Extent)",0,SR,ponded3,Function,3,,,,,,,,,
F27,Ponded Water,1-4% of the water. Most of the surface water is flowing when it is present. ,3,SR,ponded3,Function,3,,,,,,,,,
F27,Ponded Water,5-30% of the water. Most of the surface water is flowing when it is present. ,4,SR,ponded3,Function,3,,,,,,,,,
F27,Ponded Water,30-70% of the water. Most of the surface water is ponded when it is present.,5,SR,ponded3,Function,3,,,,,,,,,
F27,Ponded Water,70-95% of the water. Most of the surface water is ponded when it is present.,6,SR,ponded3,Function,3,,,,,,,,,
F27,Ponded Water,>95% of the water. Nearly all of the surface water is ponded when it is present. ,8,SR,ponded3,Function,,,,,,,,,,
F26,Predominant Depth Class,<10 cm deep (but >0).,0,SR,DepthDom3,Function,3,,,,,,,,,
F26,Predominant Depth Class,10 - 50 cm deep.,1,SR,DepthDom3,Function,3,,,,,,,,,
F26,Predominant Depth Class,0.5 - 1 m deep.,2,SR,DepthDom3,Function,3,,,,,,,,,
F26,Predominant Depth Class,1 - 2 m deep.,4,SR,DepthDom3,Function,3,,,,,,,,,
F26,Predominant Depth Class,>2 m deep. True for many fringe wetlands.,6,SR,DepthDom3,Function,3,,,,,,,,,
F33,Distance from open Water to upland,<1 m.,0,SR,WidthWet3,Function,3,,,,,,,,,
F33,Distance from open Water to upland,1 - 9 m.,1,SR,WidthWet3,Function,3,,,,,,,,,
F33,Distance from open Water to upland,10 - 29 m.,3,SR,WidthWet3,Function,3,,,,,,,,,
F33,Distance from open Water to upland,30 - 49 m.,4,SR,WidthWet3,Function,3,,,,,,,,,
F33,Distance from open Water to upland,50 - 100 m.,5,SR,WidthWet3,Function,3,,,,,,,,,
F33,Distance from open Water to upland,"> 100 m, or open water is absent at that time.",7,SR,WidthWet3,Function,3,,,,,,,,,
F35,Interspersion of inundated Vegetationand Open water,"Scattered. More than 30% of the inundated vegetation forms small islands or corridors surrounded by water, or more than 30% of the open water is in patches scattered widely amidst the vegetation.",4,SR,interspers3,Function,3,,,,,,,,,
F35,Interspersion of inundated Vegetationand Open water,Intermediate.,3,SR,interspers3,Function,3,,,,,,,,,
F35,Interspersion of inundated Vegetationand Open water,Clumped. More than 70% of the inundated vegetation is in rings surrounding open water or is clumped at one or a few sides of the open water areas.,1,SR,interspers3,Function,3,,,,,,,,,
F35,Interspersion of inundated Vegetationand Open water,"Uniform. There is almost no open water, or almost no vegetation.",0,SR,interspers3,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,<1% of the AA.,0,SR,EmArea3,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,1-20% of the AA,2,SR,EmArea3,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,20 - 40% of the AA,3,SR,EmArea3,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,40 - 60% of the AA.,4,SR,EmArea3,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,60 - 90% of the AA,6,SR,EmArea3,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,">90%, of the AA.",7,SR,EmArea3,Function,3,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Perennial (surface water flows out during the entire growing season, most years).",0,SR,OutDura3,Function,100,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Seasonal (surface water flows out for >3 consecutive weeks but not for the entire growing season, most years).",1,SR,OutDura3,Function,100,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Temporary (surface water flows out for <3 consecutive weeks, most years)",2,SR,OutDura3,Function,100,,,,,,,,,
F40,Channel Connection and Outflow Duration,"None -- but maps show a stream network downslope from the AA and within a distance that is less than the AA's longest dimension. Enter ""1"" and SKIP to F45 (pH Measure).",5,SR,OutDura3,Function,100,,,,,,,,,
F40,Channel Connection and Outflow Duration,"No surface water flows out of the wetland except possibly during extreme events (<once per 10 years). Or, water flows only into a wetland, ditch, or lake that lacks an outlet. . Enter ""1"" and SKIP to F45 (pH Measure).",5,SR,OutDura3,Function,100,,,,,,,,,
F41,Outflow Confinement and Artificial Drainage,"is exported more slowly because a substantial volume must pass through a pipe, culvert, narrowly breached dike, berm, beaver dam, or other partial obstruction (other than natural topography) that does not appear to drain the wetland artificially during most of the growing season.",3,SR,Constric3,Function,3,,,,,,,,,
F41,Outflow Confinement and Artificial Drainage,Leaves through natural exits (channels or diffuse outflow) or is otherwise unaffected by artificial or temporary features.,2,SR,Constric3,Function,3,,,,,,,,,
F41,Outflow Confinement and Artificial Drainage,"Is exported more quickly than usual due to ditches or pipes within the AA or connected to its outlet, or within 30 ft of the AA's edge, which drain the wetland artificially, or water is pumped out of the AA.",0,SR,Constric3,Function,3,,,,,,,,,
F41,Outflow Confinement and Artificial Drainage,Unknown because wetland outlet could not be viewed or its type inferred.,?,SR,Constric3,Function,3,,,,,,,,,
F43,Throughflow Resistance,"Does not bump into many plant stems as it travels through the AA. Nearly all the water continues to travel in unvegetated (often incised) channels that have minimal contact with wetland vegetation, or through a zone of open water such as an instream pond or lake.",0,SR,ThruFlo3,Function,3,,,,,,,,,
F43,Throughflow Resistance,Bumps into herbaceous vegetation but mostly remains in fairly straight channels or flow paths.,3,SR,ThruFlo3,Function,3,,,,,,,,,
F43,Throughflow Resistance,Bumps into herbaceous vegetation and mostly spreads throughout.,6,SR,ThruFlo3,Function,3,,,,,,,,,
F43,Throughflow Resistance,Bumps into tree trunks and/or shrub stems but mostly remains in fairly direct flow paths.,4,SR,ThruFlo3,Function,3,,,,,,,,,
F43,Throughflow Resistance,"Bumps into tree trunks and/or shrub stems and follows a fairly indirect path from entrance to exit, largely spreading into wooded parts of the AA.",8,SR,ThruFlo3,Function,3,,,,,,,,,
F44,Internal Gradient,<2% or the AA has no surface water outlet (not even seasonally).,4,SR,Gradient3,Function,30,,,,,,,,,
F44,Internal Gradient,2-5%.,2,SR,Gradient3,Function,30,,,,,,,,,
F44,Internal Gradient,6-10%.,1,SR,Gradient3,Function,30,,,,,,,,,
F44,Internal Gradient,>10%.,0,SR,Gradient3,Function,30,,,,,,,,,
S5,Soil or Sediment Alteration within the Assessment Area ,stressor subscore,numeric,SR,SoilDisturb3,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"<1%. In other words, all or nearly all of the AA is covered by water permanently or at least seasonally.  ",0,SR,NeverWater,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"1 to <25% of the AA,  or <1% but >0.01 hectare (e.g., 10 m x 10 m) never contains surface water.",1,SR,NeverWater,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,25 to <50% of the AA never contains surface water.,2,SR,NeverWater,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,50 to <75% of the AA never contains surface water.,3,SR,NeverWater,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"75 to <99% of the AA never contains surface water, or >99% AND there is at least one persistent or seasonal water body larger than 0.01 hectare (e.g., 10 m x 10 m) in the AA.",4,SR,NeverWater,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"99-100%. AND there is no persistent or seasonal water body larger than 0.01 hectare (~ 10 x 10 m) in the AA. Enter ""1"" and SKIP to F40 (Channel Network Connection).",5,SR,NeverWater,Function,100,,,,,,,,,
OF27,Local Climate Moisture Deficit,numeric,Numeric,SR,Dryness3v,Benefit,3,,,,,,,,,
OF31 ,Topographic Position ,Toe slope,5,SR,TopoPos3,Function ,,,,,,,,,,
OF31 ,Topographic Position ,lower slope ,4,SR,TopoPos3,Function ,,,,,,,,,,
OF31 ,Topographic Position ,depressions,3,SR,TopoPos3,Function ,,,,,,,,,,
OF31 ,Topographic Position ,mid slope,4,SR,TopoPos3,Function ,,,,,,,,,,
OF31 ,Topographic Position ,upper slope,0,SR,TopoPos3,Function ,,,,,,,,,,
OF31 ,Topographic Position ,crest,0,SR,TopoPos3,Function ,,,,,,,,,,
OF31 ,Topographic Position ,flat,0,SR,TopoPos3,Function ,,,,,,,,,,
OF32,Road Density Within AA's Buffer,< 0.12 km/km2 ,0,SR,RdDens3,Benefit,6,,,,,,,,,
OF32,Road Density Within AA's Buffer,0.12 – 0.30 km/km2 ,2,SR,RdDens3,Benefit,6,,,,,,,,,
OF32,Road Density Within AA's Buffer,> 0.30 km/km2 ,3,SR,RdDens3,Benefit,6,,,,,,,,,
OF43,Disturbed Percentage in the WAU,<10%,0,SR,Disturb3,Benefit,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,10-20%,3,SR,Disturb3,Benefit,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,20-30%,4,SR,Disturb3,Benefit,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,30-40%,6,SR,Disturb3,Benefit,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,>40%,8,SR,Disturb3,Benefit,3,,,,,,,,,
OF44,Road Density in the WAU,<0.4 km/km2 ,0,SR,RdDensWAU3,Benefit,?,,,,,,,,,
OF44,Road Density in the WAU,0.4 – 1.2 km/km2 ,2,SR,RdDensWAU3,Benefit,?,,,,,,,,,
OF44,Road Density in the WAU,> 1.2 km/km2 ,3,SR,RdDensWAU3,Benefit,?,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"<1%. In other words, all or nearly all of the AA is covered by water permanently or at least seasonally.  ",6,SR,Alldry3,Benefit,3,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"1 to <25% of the AA,  or <1% but >0.01 hectare (e.g., 10 m x 10 m) never contains surface water.",4,SR,Alldry3,Benefit,3,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,25 to <50% of the AA never contains surface water.,3,SR,Alldry3,Benefit,3,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,50 to <75% of the AA never contains surface water.,2,SR,Alldry3,Benefit,3,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"75 to <99% of the AA never contains surface water, or >99% AND there is at least one persistent or seasonal water body larger than 0.01 hectare (e.g., 10 m x 10 m) in the AA.",0,SR,Alldry3,Benefit,3,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"99-100%. AND there is no persistent or seasonal water body larger than 0.01 hectare (~ 10 x 10 m) in the AA. Enter ""1"" and SKIP to F40 (Channel Network Connection).",0,SR,Alldry3,Benefit,3,,,,,,,,,
F39,Water Colour,clear or slightly cloudy,0,SR,Colour3,Benefit,6,,,,,,,,,
F39,Water Colour,stained reddish-brown,0,SR,Colour3,Benefit,6,,,,,,,,,
F39,Water Colour,densely cloudy,1,SR,Colour3,Benefit,6,,,,,,,,,
F39,Water Colour,indeterminate (surface water absent at time of visit),?,SR,Colour3,Benefit,6,,,,,,,,,
,Tributary Channel or Floodplain,numeric,numeric,SR,Inflow3v,Benefit,3,,,,,,,,,
 F50,Vegetated Buffer along Perimeter,<5%.,5,SR,PerimPctPer3v,Benefit,3,,,,,,,,,
 F50,Vegetated Buffer along Perimeter,5 to 30%.,4,SR,PerimPctPer3v,Benefit,3,,,,,,,,,
 F50,Vegetated Buffer along Perimeter,30 to 60%.,3,SR,PerimPctPer3v,Benefit,3,,,,,,,,,
 F50,Vegetated Buffer along Perimeter,60 to 90%.,2,SR,PerimPctPer3v,Benefit,3,,,,,,,,,
 F50,Vegetated Buffer along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands. ",1,SR,PerimPctPer3v,Benefit,3,,,,,,,,,
F51,Type of Cover in Buffer,"Impervious surface, e.g., paved road, parking lot, building, exposed rock.",3,SR,BuffCovTyp3,Benefit,3,,,,,,,,,
F51,Type of Cover in Buffer,"Bare or nearly bare pervious surface (e.g., unpaved road, dike, burned area, landslide), annual vegetation, row crops, or lawn.",2,SR,BuffCovTyp3,Benefit,3,,,,,,,,,
F51,Type of Cover in Buffer,Neither. All areas within 30 m (or 50 m - if AA >5 ha) of the wetland edge lack impervious and bare pervious surfaces. SKIP to F53.,0,SR,BuffCovTyp3,Benefit,3,,,,,,,,,
F52,Buffer Slope,"<1% (flat -- almost no noticeable slope), all the area within 30 m of the AA edge is other wetlands, or none of the disturbed buffer drains into the AA.",0,SR,BuffSlope3v,Benefit,3,,,,,,,,,
F52,Buffer Slope,2-5%.,1,SR,BuffSlope3v,Benefit,3,,,,,,,,,
F52,Buffer Slope,5-30%.,2,SR,BuffSlope3v,Benefit,3,,,,,,,,,
F52,Buffer Slope,>30%.,3,SR,BuffSlope3v,Benefit,3,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned intensely.",7,SR,Fire3,Benefit,6,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned lightly.",6,SR,Fire3,Benefit,6,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned intensely.",5,SR,Fire3,Benefit,6,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned lightly.",4,SR,Fire3,Benefit,6,,,,,,,,,
F55,Fire History,Burned 6-10 years ago.,2,SR,Fire3,Benefit,6,,,,,,,,,
F55,Fire History,Burned 11-30 years ago.,1,SR,Fire3,Benefit,6,,,,,,,,,
F55,Fire History,"Burned >30 years ago, or no evidence of a burn and no data.",0,SR,Fire3,Benefit,6,,,,,,,,,
S4,Excessive Sediament Loading from Runoff Contributing Area),calculated score,numeric,SR,Sedin2,Benefit,6,,,,,,,,,
OF27,Local Climate Moisture Deficit,numeric,numeric,FR,Dryness7v,Benefit,16,,,,,,,,,
F1,Vegetation Height and Form Diversity ,numeric calculations ,numeric,FR,Conif7,Benefit,16,,,,,,,,,
F1,Vegetation Height and Form Diversity ,numeric calculations ,numeric,FR,WoodCov7,Function,50,,,,,,,,,
F15,Percent Bare Ground,"Little or no (<5%) bare ground is visible between erect stems or under canopy anywhere in the vegetated AA. Ground is extensively blanketed by dense thatch, moss, lichens, graminoids with great stem densities, or plants with ground-hugging foliage. ",0,FR,Gcove8,Function,5,,,,,,,,,
F15,Percent Bare Ground,"Ground that is more than 5% bare between erect stems or under canopy is visible in places, but those areas comprise < 5% of the unflooded parts of the AA.",0,FR,Gcove8,Function,5,,,,,,,,,
F15,Percent Bare Ground,Ground that is more than 5% bare between erect stems or under canopy comprises > 5% of the unflooded parts of the AA.,1,FR,Gcove8,Function,5,,,,,,,,,
F15,Percent Bare Ground,Other conditions.,?,FR,Gcove8,Function,5,,,,,,,,,
OF41,Closed Coniferous Within the AA plus 100m buffer,<0.20 (<20%),4,FR,Conif7,Function ,not used,,,,,,,,,
OF41,Closed Coniferous Within the AA plus 100m buffer,0.20 - 0.47,3,FR,Conif7,Function ,not used,,,,,,,,,
OF41,Closed Coniferous Within the AA plus 100m buffer,0.48 - 0.69,2,FR,Conif7,Function ,not used,,,,,,,,,
OF41,Closed Coniferous Within the AA plus 100m buffer,0.70 - 0.90,1,FR,Conif7,Function ,not used,,,,,,,,,
OF41,Closed Coniferous Within the AA plus 100m buffer,>0.90,0,FR,Conif7,Function ,not used,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"<1%. In other words, all or nearly all of the AA is covered by water permanently or at least seasonally.  ",8,FR,SatPct7,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"1 to <25% of the AA,  or <1% but >0.01 hectare (e.g., 10 m x 10 m) never contains surface water.",4,FR,SatPct7,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,25 to <50% of the AA never contains surface water.,3,FR,SatPct7,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,50 to <75% of the AA never contains surface water.,2,FR,SatPct7,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"75 to <99% of the AA never contains surface water, or >99% AND there is at least one persistent or seasonal water body larger than 0.01 hectare (e.g., 10 m x 10 m) in the AA.",1,FR,SatPct7,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"99-100%. AND there is no persistent or seasonal water body larger than 0.01 hectare (~ 10 x 10 m) in the AA. Enter ""1"" and SKIP to F40 (Channel Network Connection).",0,FR,SatPct7,Function,10,,,,,,,,,
F31,Open Water Extent,"none, or <0.01 hectare. Enter ""1"" and SKIP to F37 (Inundated Erect Vegetation).",0,FR,OpenW7,Function,10,,,,,,,,,
F31,Open Water Extent,0.01 - 0.10 hectares ,1,FR,OpenW7,Function,10,,,,,,,,,
F31,Open Water Extent,0.10 - 1.00 hectares,2,FR,OpenW7,Function,10,,,,,,,,,
